"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"518",2018,"South Carolina",-5.06803813894519,0.906056366436788,28.8909965168858,2.52243177853006,2.08248881795555,632.017346893993
"519",2019,"South Carolina",-4.53484812740676,0.869735201074193,28.7720321412747,2.51461625271743,1.89010376412244,317.459366831833
"520",2020,"South Carolina",-4.83647338567601,0.0691786498837915,23.6248848529753,2.79649005710609,1.43274506940084,3098.53000594123
"521",2021,"South Carolina",-4.19117333241765,0.258491685047812,22.8946643826098,1.34558731862725,0.62533708692441,1505.63317884699
"522",2022,"South Carolina",-3.98795973244717,0.578992880276025,12.72605529905,0.916888447589718,2.11556377826266,1098.74341360749
"523",2010,"South Dakota",-5.18158196091107,0.671056039408255,22.1592775682289,2.11091829884901,1.40238167654541,3019.58907905065
"524",2011,"South Dakota",-7.0587085836158,1.1269417978662,31.3900355930997,3.27603604980435,1.97519726659141,390.309934085258
"525",2012,"South Dakota",-8.11602211758214,1.5028612837526,26.9450749666962,2.96514209724226,2.51523425236972,347.872561209483
"526",2013,"South Dakota",-5.52352552949128,0.484493408236207,23.5207730454303,2.07584817896704,2.57287327008066,1469.36203139536
"527",2014,"South Dakota",-4.98129099281206,0.407023868237891,22.5211606701255,1.14224290945017,2.12950358876851,2811.53152694536
"528",2015,"South Dakota",-5.21278180938186,0.364781351377196,29.8926450371236,2.43562917484883,2.32936480196558,2053.87673794848
"529",2016,"South Dakota",-4.90853137741681,0.537478306246245,27.5537279916039,1.69238042494348,1.71822698518066,1191.46043925954
"530",2017,"South Dakota",-5.35860699663689,0.827787040550586,28.0417689561801,2.62726102778734,2.05306811743723,1583.11402810949
"531",2018,"South Dakota",-5.74532812519411,0.647350190886714,31.9913823494952,2.9588126898355,1.44902213020238,464.964568294571
"532",2019,"South Dakota",-5.57956720305766,0.879617940727264,30.6266692282408,2.564952168407,1.32800120131225,3004.51390669897
"533",2020,"South Dakota",-6.15068472594113,0.0648868858311673,8.64070912566856,1.84352553197169,23.6242529083859,2015.21801965594
"534",2021,"South Dakota",-4.95727914212102,0.285250530621355,22.5208491057715,1.5831338174391,0.993521691145066,1578.71917666576
"535",2022,"South Dakota",-4.96820151963784,0.437913403600392,16.6208773842468,0.818917811151562,1.75058197637497,2296.00517842404
"536",2010,"Tennessee",-7.34564544949675,1.47926992086884,19.2159757068875,2.39192668386265,1.87373959860901,800.488238312953
"537",2011,"Tennessee",-8.18909338780745,1.37003018760775,30.5512623969799,3.13979157052813,2.5716642009849,741.352762779712
"538",2012,"Tennessee",-7.18773305690868,1.45621827053749,20.0885422561635,2.18908140706719,2.61047781274807,403.948422416323
"539",2013,"Tennessee",-6.68978050433543,1.34921278904681,22.1794695543057,1.6068059379319,2.17207267049819,1117.03626181124
"540",2014,"Tennessee",-5.91742175795812,1.13382467966388,21.6428314793676,1.55587885489342,2.09097149247424,591.002658318237
"541",2015,"Tennessee",-6.2209304303412,0.964820198760548,34.8750553761582,2.89594988044034,2.83368915209719,1304.73024842519
"542",2016,"Tennessee",-6.35146738601281,1.24457998459295,31.1602795735264,3.10382718701099,2.33326985493448,545.973302240349
"543",2017,"Tennessee",-5.70277549052522,1.12821649790997,25.6800378262162,2.11124297942834,1.5396898533448,923.890790808969
